##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:04, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.0096003357,0.36985207,3.4294761e-05
0.50999999,0.99000001,-0.0098917251,0.36968091,7.8278856e-05
0.52999997,0.96999991,-0.0097981803,0.32448646,0.00035890227
0.49000001,0.99000001,-0.010055114,0.36937878,0.00012296397
0.50999999,0.96999991,-0.010133921,0.32380185,0.00067243149
0.52999997,0.94999981,-0.010143708,0.280646,0.0010870775
0.47,0.99000001,-0.010110038,0.36894467,0.00017855597
0.49000001,0.96999991,-0.010346111,0.32276857,0.00098694093
0.50999999,0.94999975,-0.010573806,0.27943224,0.0018266406
0.52999997,0.92999959,-0.010577398,0.23896568,0.0022283343
0.44999999,0.99000001,-0.010088958,0.36837032,0.00022027263
0.47,0.96999991,-0.010457866,0.32138219,0.0012992797
0.49000001,0.94999981,-0.010879231,0.27769762,0.0025653925
0.50999999,0.92999959,-0.011073094,0.23730847,0.0035631196
0.52999997,0.90999931,-0.011058359,0.19989301,0.0036881438
0.43000001,0.99000001,-0.010007447,0.36766174,0.0002621274
0.44999999,0.96999985,-0.010481653,0.31963754,0.0016294732
0.47,0.94999975,-0.011084196,0.27543637,0.0033148562
0.49000001,0.92999959,-0.011446512,0.2350025,0.0048928708
0.50999999,0.90999937,-0.011606271,0.19793317,0.0057163751
0.52999997,0.88999891,-0.011534964,0.16371907,0.0053391722
0.41,0.99000001,-0.0098804617,0.36680585,0.00031112164
0.43000001,0.96999991,-0.010442508,0.3175188,0.0019751363
0.45000002,0.94999981,-0.01121028,0.27264234,0.0040807892
0.47000003,0.92999959,-0.011721736,0.23204848,0.0062342593
0.49000001,0.90999925,-0.012035054,0.19524212,0.0077307322
0.50999999,0.88999879,-0.012117885,0.16161962,0.0081287082
0.52999997,0.86999798,-0.011966071,0.13057236,0.0070344838
0.39000002,0.99000001,-0.0097287195,0.36579436,0.00036625846
0.41000003,0.96999991,-0.010364855,0.31501019,0.002336229
0.43000001,0.94999975,-0.011279256,0.26930183,0.0048752227
0.45000005,0.92999953,-0.011919978,0.22844294,0.0076044505
0.47000003,0.90999919,-0.012367613,0.19182797,0.0097547425
0.49000004,0.88999867,-0.012584292,0.15874664,0.010888211
0.50999999,0.86999792,-0.012571628,0.12849332,0.010612
0.37,0.99000001,-0.0095720701,0.36461622,0.00042989539
0.39000002,0.96999991,-0.010271806,0.31208888,0.0027175976
0.41000006,0.94999981,-0.011313334,0.26539338,0.0057108398
0.43000007,0.92999953,-0.012064857,0.22417344,0.0090202186
0.45000008,0.90999925,-0.012627083,0.18769321,0.011811008
0.47000009,0.88999861,-0.012957041,0.15511754,0.013647939
0.49000013,0.86999768,-0.013063353,0.12563327,0.014136766
0.35000002,0.99000001,-0.0094210934,0.3632493,0.0005155729
0.37,0.96999991,-0.010189144,0.30872411,0.0031239388
0.39000005,0.94999975,-0.011335747,0.26088735,0.0066015292
0.41000009,0.92999953,-0.012180434,0.21922117,0.010500261
0.43000013,0.90999919,-0.012836752,0.18283305,0.013924237
0.45000017,0.88999856,-0.013259072,0.15074225,0.016437346
0.47000024,0.86999756,-0.013463844,0.1220171,0.017644053
0.49000019,0.84999603,-0.013435743,0.095864795,0.017285153
0.33000001,0.99000001,-0.009309751,0.36167032,0.00063575956
0.35000002,0.96999991,-0.010143983,0.30487758,0.0035574916
0.37000006,0.94999987,-0.011371653,0.25574449,0.0075643784
0.3900001,0.92999953,-0.012291992,0.21355885,0.012066539
0.41000018,0.90999925,-0.013020735,0.17723632,0.016121177
0.43000028,0.8899985,-0.013513862,0.1456258,0.019286582
0.45000035,0.8699975,-0.013795583,0.11766411,0.021167908
0.47000042,0.84999579,-0.013852511,0.092455499,0.021522533
0.49000043,0.82999337,-0.013678867,0.06929747,0.020169815
0.31,0.99000001,-0.009331313,0.35987556,0.00071050215
0.33000001,0.96999991,-0.010157606,0.30050555,0.0040373318
0.35000005,0.94999987,-0.011449887,0.24991284,0.008620779
0.37000012,0.92999971,-0.012426876,0.20714992,0.013745312
0.39000022,0.90999931,-0.013204698,0.17088485,0.018432016
0.41000032,0.88999867,-0.013745797,0.13976873,0.022227718
0.43000048,0.86999744,-0.014081888,0.11259051,0.024743095
0.45000061,0.84999573,-0.014202502,0.088344961,0.025754537
0.47000074,0.82999313,-0.014103437,0.066247158,0.025097352
0.49000087,0.80998909,-0.013776704,0.045726139,0.022669705
0.28999999,0.99000001,-0.009513393,0.35778597,0.00075279502
0.31000003,0.96999997,-0.010247482,0.29553983,0.0046358472
0.33000004,0.94999987,-0.011606463,0.24332492,0.0097956713
0.35000014,0.92999977,-0.012615756,0.19994782,0.015569204
0.37000024,0.90999943,-0.013416405,0.16375357,0.020891583
0.39000034,0.88999891,-0.013980488,0.13316627,0.025296424
0.41000056,0.86999786,-0.014346769,0.1068093,0.028405942
0.43000081,0.84999591,-0.014507809,0.083560407,0.030018948
0.45000112,0.82999283,-0.014461958,0.062548846,0.029988419
0.4700014,0.80998868,-0.014202788,0.043142144,0.02823182
0.4900018,0.7899828,-0.013722446,0.02491848,0.02470273
0.27000001,0.99000001,-0.0098437723,0.35538206,0.00084261037
0.29000002,0.97000003,-0.010456691,0.28987217,0.0053635985
0.31000003,0.94999993,-0.011885948,0.23590337,0.011116252
0.33000007,0.92999989,-0.012892655,0.19189568,0.017580787
0.3500002,0.90999973,-0.013686843,0.15581052,0.023541145
0.37000033,0.88999927,-0.014245558,0.12581003,0.028532645
0.39000058,0.86999834,-0.014614912,0.10033095,0.032195322
0.41000092,0.84999651,-0.014791309,0.078126147,0.034352098
0.43000135,0.82999331,-0.014775899,0.05823838,0.034880903
0.45000187,0.80998868,-0.014563537,0.039975412,0.033719432
0.47000256,0.78998196,-0.014145885,0.022866467,0.030833798
0.49000365,0.76997411,-0.013516752,0.0066388398,0.026224345
0.25,0.99000001,-0.01038547,0.35259441,0.00097326678
0.27000001,0.97000003,-0.010849211,0.28339884,0.0061950861
0.29000002,0.94999993,-0.012329455,0.22755428,0.012625041
0.31000006,0.92999995,-0.013294337,0.18292378,0.019835224
0.33000013,0.90999985,-0.014051122,0.14701702,0.026429936
0.35000029,0.88999963,-0.014571336,0.1176891,0.031982068
0.37000054,0.86999893,-0.014912819,0.093165554,0.036152247
0.39000088,0.84999746,-0.015076395,0.072066627,0.038791925
0.4100014,0.82999456,-0.015067357,0.05335113,0.039812509
0.43000209,0.80998981,-0.014879104,0.03626797,0.03917025
0.45000309,0.78998268,-0.014504326,0.020303888,0.036847848
0.47000477,0.76997262,-0.013935053,0.0051481016,0.032852877
0.49000713,0.74996221,-0.013166716,-0.009337591,0.027221225
0.23000002,0.99000001,-0.011230092,0.34932464,0.0011396244
0.25,0.97000003,-0.011490917,0.27598467,0.0071766782
0.27000004,0.94999999,-0.012984762,0.21815023,0.014384005
0.29000005,0.92999995,-0.013867881,0.17294696,0.022391688
0.31000012,0.90999991,-0.01454979,0.13732968,0.029615952
0.33000019,0.88999987,-0.014990776,0.10879114,0.035698306
0.35000041,0.86999953,-0.015269266,0.085324362,0.040321913
0.37000072,0.84999859,-0.015388701,0.065409675,0.043380026
