##ANSYS Fluent 23.1.0
##
##Generated on: 16:06:53, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.0050799879,0.27955425,8.4519806e-06
0.50999999,0.99000001,-0.0054191849,0.27948245,3.9018141e-05
0.52999997,0.96999991,-0.0051786751,0.24552381,0.00011843997
0.49000001,0.99000001,-0.0056823618,0.27931869,7.0315538e-05
0.50999999,0.96999991,-0.0055524376,0.24520311,0.00034309417
0.52999997,0.94999981,-0.0053506275,0.21267833,0.00041717634
0.47,0.99000001,-0.00588308,0.27905995,0.00010181942
0.49000001,0.96999991,-0.0058501875,0.24462913,0.0005688261
0.50999999,0.94999975,-0.0057929978,0.21208599,0.0009541203
0.52999997,0.92999959,-0.0055770539,0.18139374,0.00091167266
0.44999999,0.99000001,-0.0060333288,0.27870488,0.00013399911
0.47,0.96999991,-0.0060856142,0.24379921,0.00080010848
0.49000001,0.94999981,-0.0061622644,0.21110727,0.0014910607
0.50999999,0.92999959,-0.0060716029,0.18056408,0.0018874885
0.52999997,0.90999931,-0.0058338083,0.15194592,0.0015649269
0.43000001,0.99000001,-0.006143203,0.27824888,0.00016889488
0.44999999,0.96999985,-0.0062717665,0.24270685,0.0010396458
0.47,0.94999975,-0.0064711478,0.20974186,0.0020365235
0.49000001,0.92999959,-0.0064948001,0.17924821,0.0028630907
0.50999999,0.90999937,-0.0063730273,0.15094864,0.0030608815
0.52999997,0.88999891,-0.0060935873,0.12453486,0.0023143648
0.41,0.99000001,-0.0062237699,0.27768755,0.00021026794
0.43000001,0.96999991,-0.0064221798,0.24134013,0.0012871273
0.45000002,0.94999981,-0.0067332983,0.20798148,0.0025980859
0.47000003,0.92999959,-0.0068585733,0.17744713,0.0038516431
0.49000001,0.90999925,-0.0068413336,0.14939706,0.0045526726
0.50999999,0.88999879,-0.0066644698,0.12345652,0.0043892581
0.52999997,0.86999798,-0.0063308459,0.099272393,0.0030862428
0.39000002,0.99000001,-0.0062919427,0.27701095,0.00025576149
0.41000003,0.96999991,-0.0065506259,0.23968725,0.0015465571
0.43000001,0.94999975,-0.0069617075,0.20581287,0.0031854317
0.45000005,0.92999953,-0.0071777641,0.17515403,0.0048666587
0.47000003,0.90999919,-0.0072523616,0.14729463,0.0060586557
0.49000004,0.88999867,-0.0071653235,0.12178461,0.0064511704
0.50999999,0.86999792,-0.0069235903,0.09820091,0.0057676081
0.37,0.99000001,-0.0063671577,0.27620915,0.00030026506
0.39000002,0.96999991,-0.006669974,0.23772903,0.0018264228
0.41000006,0.94999981,-0.0071709971,0.20321658,0.0038075948
0.43000007,0.92999953,-0.0074667847,0.17235668,0.0059219571
0.45000008,0.90999925,-0.0076205456,0.14463913,0.007598253
0.47000009,0.88999861,-0.0076105548,0.11952737,0.0085245557
0.49000013,0.86999768,-0.0074478318,0.096522719,0.0084226476
0.35000002,0.99000001,-0.006467042,0.27526954,0.00034462742
