##ANSYS Fluent 23.1.0
##
##Generated on: 16:06:57, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.007078324,0.32283169,2.1440537e-05
0.50999999,0.99000001,-0.0074078529,0.32271743,5.6558598e-05
0.52999997,0.96999991,-0.0072162268,0.28340831,0.0002216834
0.49000001,0.99000001,-0.0076404489,0.32249245,9.3063849e-05
0.50999999,0.96999991,-0.007588705,0.282929,0.0004870159
0.52999997,0.94999981,-0.0074663777,0.24533476,0.00070269412
0.47,0.99000001,-0.0077908263,0.32215667,0.0001304992
0.49000001,0.96999991,-0.0078610536,0.28215265,0.00075447961
0.50999999,0.94999975,-0.0079173194,0.24447176,0.0013358195
0.52999997,0.92999959,-0.007784632,0.20909846,0.0014784881
0.44999999,0.99000001,-0.0078663127,0.32170802,0.00017684643
0.47,0.96999991,-0.0080541885,0.28107342,0.0010260487
0.49000001,0.94999981,-0.0082719531,0.24315853,0.0019682569
0.50999999,0.92999959,-0.0082942862,0.20790669,0.0026237345
0.52999997,0.90999931,-0.0081399269,0.1750503,0.0024833106
0.43000001,0.99000001,-0.0078840386,0.32113728,0.0002398361
0.44999999,0.96999985,-0.0081868898,0.27968377,0.001296538
0.47,0.94999975,-0.0085466318,0.24139334,0.0026096043
0.49000001,0.92999959,-0.0087093925,0.20614974,0.0037665477
0.50999999,0.90999937,-0.0086981328,0.17362912,0.0042315209
0.52999997,0.88999891,-0.0084958058,0.14343114,0.0036271466
0.41,0.99000001,-0.0078770062,0.32043996,0.00028561483
0.43000001,0.96999991,-0.0082740849,0.27797884,0.001571406
0.45000002,0.94999981,-0.0087580532,0.23916729,0.0032708074
0.47000003,0.92999959,-0.009047444,0.20382996,0.0049218084
0.49000001,0.90999925,-0.0091641061,0.17156751,0.005971544
0.50999999,0.88999879,-0.0090882983,0.14190064,0.0060421107
0.52999997,0.86999798,-0.0088190436,0.11436354,0.0048047844
0.39000002,0.99000001,-0.0078516873,0.31961033,0.00033643006
0.41000003,0.96999991,-0.0083246836,0.27594015,0.0018739123
0.43000001,0.94999975,-0.0089242626,0.23646545,0.0039603678
0.45000005,0.92999953,-0.009326796,0.2009407,0.0061037573
0.47000003,0.90999919,-0.0095544094,0.1688723,0.0077246507
0.49000004,0.88999867,-0.009589511,0.13968907,0.0084376577
0.50999999,0.86999792,-0.0094342111,0.11284427,0.0079148924
