##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:20, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.036351636,0.69308561,0.00024750523
0.50999999,0.99000001,-0.035402298,0.69217801,0.00034821898
0.52999997,0.96999991,-0.037133828,0.60317653,0.0021317925
0.49000001,0.99000001,-0.034104638,0.69097787,0.00044493272
0.50999999,0.96999991,-0.036251787,0.60011005,0.0028139236
0.52999997,0.94999981,-0.038589299,0.5162881,0.0056870971
0.47,0.99000001,-0.032534089,0.68948764,0.00054035644
0.49000001,0.96999991,-0.035018962,0.59630984,0.0034844892
0.50999999,0.94999975,-0.037866406,0.51126063,0.0072400742
0.52999997,0.92999959,-0.040230379,0.43504879,0.01090857
0.44999999,0.99000001,-0.030763352,0.68771046,0.00063541601
0.47,0.96999991,-0.033514716,0.59179097,0.0041471031
0.49000001,0.94999981,-0.036795601,0.50520349,0.0087546194
0.50999999,0.92999959,-0.039586145,0.42856196,0.013608584
0.52999997,0.90999931,-0.041991472,0.36097351,0.017173741
0.43000001,0.99000001,-0.028862728,0.68564433,0.00073139649
0.44999999,0.96999985,-0.031813487,0.58655733,0.0048093991
0.47,0.94999975,-0.035457142,0.49813843,0.010248668
0.49000001,0.92999959,-0.038600203,0.42086887,0.016237272
0.50999999,0.90999937,-0.041393053,0.35363925,0.021139462
0.52999997,0.88999891,-0.043690428,0.29466167,0.023978559
0.41,0.99000001,-0.026899271,0.68328321,0.00082960335
0.43000001,0.96999991,-0.029986372,0.58060384,0.0054810178
0.45000002,0.94999981,-0.033927869,0.49007592,0.011740653
0.47000003,0.92999959,-0.037354469,0.41200364,0.018822858
0.49000001,0.90999925,-0.040463358,0.34501904,0.02498501
0.50999999,0.88999879,-0.043100677,0.28707948,0.029268321
0.52999997,0.86999798,-0.045228843,0.23596819,0.030766752
0.39000002,0.99000001,-0.024938459,0.68061513,0.0009312458
0.41000003,0.96999991,-0.028102281,0.57391483,0.0061735427
0.43000001,0.94999975,-0.03228195,0.48101395,0.013250896
0.45000005,0.92999953,-0.035927247,0.40198976,0.021395745
0.47000003,0.90999919,-0.039284624,0.33516291,0.028750844
0.49000004,0.88999867,-0.042192437,0.27820337,0.034374274
0.50999999,0.86999792,-0.044631474,0.22865562,0.037368987
0.37,0.99000001,-0.023045806,0.67762208,0.0010371009
0.39000002,0.96999991,-0.026227666,0.56646186,0.0069027497
0.41000006,0.94999981,-0.030592104,0.47093725,0.014802442
0.43000007,0.92999953,-0.034394242,0.3908371,0.023989482
0.45000008,0.90999925,-0.03793557,0.32411033,0.032479089
0.47000009,0.88999861,-0.04104767,0.26809958,0.039347481
0.49000013,0.86999768,-0.043729626,0.22008809,0.043708269
0.35000002,0.99000001,-0.0212839,0.67427701,0.0011495946
0.37,0.96999991,-0.024426097,0.55819964,0.0076895859
0.39000005,0.94999975,-0.028930308,0.4598161,0.016420919
0.41000009,0.92999953,-0.032828897,0.37854296,0.026641479
0.43000013,0.90999919,-0.0364925,0.31188831,0.03621522
0.45000017,0.88999856,-0.039744571,0.25682393,0.044241041
0.47000024,0.86999756,-0.042604856,0.21034692,0.049847573
0.49000019,0.84999603,-0.044984847,0.16982967,0.052496217
0.33000001,0.99000001,-0.019719535,0.67055005,0.0012786273
0.35000002,0.96999991,-0.022761483,0.54906011,0.0085513275
0.37000006,0.94999987,-0.027366584,0.44760561,0.018134266
0.3900001,0.92999953,-0.031303316,0.36509058,0.02939399
0.41000018,0.90999925,-0.035029553,0.29851335,0.0400085
0.43000028,0.8899985,-0.038358767,0.24442281,0.049110889
0.45000035,0.8699975,-0.041333396,0.19950296,0.055847894
0.47000042,0.84999579,-0.043871049,0.16091003,0.059727665
0.49000043,0.82999337,-0.045903839,0.12635373,0.060346641
0.31,0.99000001,-0.018420845,0.66640067,0.0014268109
0.33000001,0.96999991,-0.021312658,0.53898531,0.0094828429
0.35000005,0.94999987,-0.025966559,0.43423972,0.019978503
0.37000012,0.92999971,-0.029889584,0.35044783,0.032294977
0.39000022,0.90999931,-0.03361975,0.28399041,0.043913521
0.41000032,0.88999867,-0.036963653,0.23093463,0.054015648
0.43000048,0.86999744,-0.039989103,0.1876213,0.061772346
0.45000061,0.84999573,-0.042619567,0.15097688,0.066746451
0.47000074,0.82999313,-0.044800352,0.11856357,0.068585239
0.49000087,0.80998909,-0.046449564,0.088556588,0.067020066
0.28999999,0.99000001,-0.017395679,0.66176194,0.0016329046
0.31000003,0.96999997,-0.020159686,0.52784383,0.01051985
0.33000004,0.94999987,-0.024803672,0.41962883,0.022016907
0.35000014,0.92999977,-0.028661707,0.33456358,0.035400916
0.37000024,0.90999943,-0.032336324,0.26831359,0.04799189
0.39000034,0.88999891,-0.035631344,0.21638931,0.059019536
0.41000056,0.86999786,-0.038643606,0.17475921,0.067687273
