##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:06, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.01248238,0.41684303,5.3692329e-05
0.50999999,0.99000001,-0.012698291,0.4166024,0.00010583641
0.52999997,0.96999991,-0.012744542,0.36543149,0.00052760012
0.49000001,0.99000001,-0.012757549,0.4162066,0.00016758786
0.50999999,0.96999991,-0.013013565,0.3645061,0.00089201634
0.52999997,0.94999981,-0.013207227,0.31572101,0.0015450923
0.47,0.99000001,-0.012700591,0.41565746,0.00020703713
0.49000001,0.96999991,-0.01313052,0.36317629,0.0012508878
0.50999999,0.94999975,-0.013580837,0.31410235,0.0023969701
0.52999997,0.92999959,-0.013773784,0.26852721,0.0031194636
0.44999999,0.99000001,-0.012537872,0.41495371,0.00025830121
0.47,0.96999991,-0.013113517,0.36144167,0.0016264737
0.49000001,0.94999981,-0.013802422,0.31188536,0.0032473255
0.50999999,0.92999959,-0.014218381,0.26633722,0.0046485262
0.52999997,0.90999931,-0.014395293,0.22440861,0.0051069739
0.43000001,0.99000001,-0.012294901,0.41408882,0.0003123194
0.44999999,0.96999985,-0.012998099,0.35929212,0.0020054455
0.47,0.94999975,-0.013900166,0.30907068,0.0041021015
0.49000001,0.92999959,-0.014513002,0.26341176,0.0061686127
0.50999999,0.90999937,-0.014896456,0.22183624,0.0074189543
0.52999997,0.88999891,-0.015009004,0.18370894,0.0073400689
0.41,0.99000001,-0.012000703,0.41305539,0.000368868
0.43000001,0.96999991,-0.012808393,0.35672021,0.0023963519
0.45000002,0.94999981,-0.013900181,0.30565226,0.0049756952
0.47000003,0.92999959,-0.01468503,0.25975549,0.0076979818
0.49000001,0.90999925,-0.015249912,0.21844254,0.009708859
0.50999999,0.88999879,-0.015544462,0.18096657,0.010505322
0.52999997,0.86999798,-0.015562102,0.14655529,0.0096261799
0.39000002,0.99000001,-0.011682326,0.41184419,0.00042911453
0.41000003,0.96999991,-0.012570974,0.35370642,0.0028067855
0.43000001,0.94999975,-0.013830145,0.30161536,0.0058788517
0.45000005,0.92999953,-0.01476374,0.25536615,0.0092528667
0.47000003,0.90999919,-0.015485066,0.21424012,0.012001258
0.49000004,0.88999867,-0.015936242,0.17736289,0.013627485
0.50999999,0.86999792,-0.01611883,0.14384809,0.013668708
0.37,0.99000001,-0.011367059,0.41044259,0.00049507723
0.39000002,0.96999991,-0.012313209,0.35022554,0.0032436114
0.41000006,0.94999981,-0.01371839,0.29693836,0.0068248538
0.43000007,0.92999953,-0.014777453,0.25023383,0.010852912
0.45000008,0.90999925,-0.015630221,0.20923501,0.014321881
0.47000009,0.88999861,-0.016212828,0.17291971,0.016738616
0.49000013,0.86999768,-0.016535418,0.14027666,0.017638361
0.35000002,0.99000001,-0.011077068,0.40883464,0.00057217089
0.37,0.96999991,-0.012065518,0.34624353,0.0037130364
0.39000005,0.94999975,-0.013594044,0.2915909,0.0078290682
0.41000009,0.92999953,-0.014755416,0.24434015,0.012519902
0.43000013,0.90999919,-0.015714422,0.20342526,0.016697608
0.45000017,0.88999856,-0.016402878,0.16765261,0.01987068
0.47000024,0.86999756,-0.016840395,0.13587186,0.021573236
0.49000019,0.84999603,-0.017003346,0.10709352,0.021508658
0.33000001,0.99000001,-0.010821647,0.40698701,0.00068063015
0.35000002,0.96999991,-0.011862815,0.34171695,0.0042189979
0.37000006,0.94999987,-0.013487384,0.28553218,0.0089103458
0.3900001,0.92999953,-0.014728236,0.23765802,0.014278583
0.41000018,0.90999925,-0.015767464,0.19680227,0.01915792
0.43000028,0.8899985,-0.016535435,0.16157119,0.023056839
0.45000035,0.8699975,-0.017061528,0.13065991,0.025510758
0.47000042,0.84999579,-0.017324412,0.10296106,0.026244158
0.49000043,0.82999337,-0.017312717,0.07759501,0.025038598
0.31,0.99000001,-0.010645603,0.40486541,0.00084234623
0.33000001,0.96999991,-0.011741755,0.3365919,0.0047630421
0.35000005,0.94999987,-0.013430902,0.27870807,0.010092666
0.37000012,0.92999971,-0.01472865,0.23015027,0.016157789
0.39000022,0.90999931,-0.015820507,0.18934996,0.021735987
0.41000032,0.88999867,-0.016640287,0.15468027,0.026332701
0.43000048,0.86999744,-0.017227896,0.12466308,0.02948918
0.45000061,0.84999573,-0.01756461,0.098065443,0.030952767
0.47000074,0.82999313,-0.017641859,0.073914342,0.03052498
0.49000087,0.80998909,-0.017443482,0.0514968,0.028086971
0.28999999,0.99000001,-0.010687084,0.40247124,0.00093269104
0.31000003,0.96999997,-0.011729532,0.33080712,0.0053718449
0.33000004,0.94999987,-0.013462534,0.27104753,0.011406411
