##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:44, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.063941061,0.91510898,0.00047499308
0.50999999,0.99000001,-0.061224818,0.91344035,0.00061700173
0.52999997,0.96999991,-0.065278076,0.78979403,0.0039489227
0.49000001,0.99000001,-0.057976868,0.91135281,0.00075391127
0.50999999,0.96999991,-0.062622882,0.78440154,0.0049097631
0.52999997,0.94999981,-0.067813262,0.66950566,0.010235106
0.47,0.99000001,-0.054335408,0.90885866,0.00088721525
0.49000001,0.96999991,-0.059440099,0.77801293,0.0058373986
0.50999999,0.94999975,-0.065348841,0.66095513,0.012351369
0.52999997,0.92999959,-0.070594862,0.5592382,0.019194566
0.44999999,0.99000001,-0.050428431,0.90596551,0.0010184883
0.47,0.96999991,-0.055867296,0.77065545,0.0067440597
0.49000001,0.94999981,-0.062359072,0.65104991,0.014396301
0.50999999,0.92999959,-0.068188667,0.54852217,0.022805737
0.52999997,0.90999931,-0.073567286,0.46145281,0.029629694
0.43000001,0.99000001,-0.046375699,0.90267509,0.0011496231
0.44999999,0.96999985,-0.052033816,0.76234388,0.0076413709
0.47,0.94999975,-0.058985569,0.63983434,0.01639232
0.49000001,0.92999959,-0.065271989,0.53627151,0.026283741
0.50999999,0.90999937,-0.071177885,0.44965509,0.034832899
0.52999997,0.88999891,-0.076439284,0.37666306,0.040686384
0.41,0.99000001,-0.042289842,0.89898288,0.0012827213
0.43000001,0.96999991,-0.048060756,0.75308073,0.0085425852
0.45000002,0.94999981,-0.055361226,0.62733418,0.018365579
0.47000003,0.92999959,-0.061987434,0.52254778,0.029669091
0.49000001,0.90999925,-0.068298556,0.4362697,0.039824139
0.50999999,0.88999879,-0.074019827,0.36475101,0.04751559
0.52999997,0.86999798,-0.079093486,0.30397186,0.051479075
0.39000002,0.99000001,-0.038277391,0.89487714,0.0014201197
0.41000003,0.96999991,-0.044062421,0.74285311,0.0094626807
0.43000001,0.94999975,-0.051611077,0.61356044,0.020344146
0.45000005,0.92999953,-0.058469392,0.50739682,0.033002995
0.47000003,0.90999919,-0.065071814,0.42137888,0.044658661
0.49000004,0.88999867,-0.071136013,0.35128003,0.054034159
0.50999999,0.86999792,-0.076631516,0.29270649,0.059885044
0.37,0.99000001,-0.034440219,0.89033705,0.0015642452
0.39000002,0.96999991,-0.04014767,0.73163152,0.010419619
0.41000006,0.94999981,-0.047854178,0.59850544,0.022359697
0.43000007,0.92999953,-0.054844476,0.49084637,0.036331367
0.45000008,0.90999925,-0.061631829,0.40504831,0.049394432
0.47000009,0.88999861,-0.067928344,0.33635041,0.060312565
0.49000013,0.86999768,-0.073733255,0.27995554,0.067866862
0.35000002,0.99000001,-0.030879224,0.88533098,0.0017170546
0.37,0.96999991,-0.036421869,0.71936744,0.011436472
0.39000005,0.94999975,-0.044205014,0.58214152,0.024448795
0.41000009,0.92999953,-0.051233552,0.47290829,0.039704256
0.43000013,0.90999919,-0.058105484,0.3873297,0.054092348
0.45000017,0.88999856,-0.06452933,0.32004812,0.066422425
0.47000024,0.86999756,-0.070535243,0.26583156,0.075508825
0.49000019,0.84999603,-0.075966328,0.22018945,0.080674179
0.33000001,0.99000001,-0.027694061,0.87981206,0.0018800111
0.35000002,0.96999991,-0.032986112,0.70599014,0.012546061
0.37000006,0.94999987,-0.040776201,0.56441963,0.026653107
0.3900001,0.92999953,-0.047752913,0.45357704,0.043177519
0.41000018,0.90999925,-0.054613855,0.36826098,0.05881748
0.43000028,0.8899985,-0.061064199,0.30244815,0.072437413
