##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:33, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.054233745,0.84377158,0.00039869139
0.50999999,0.99000001,-0.052150238,0.8423627,0.00052653824
0.52999997,0.96999991,-0.055383772,0.73028225,0.0033337874
0.49000001,0.99000001,-0.049598794,0.84057361,0.00065021648
0.50999999,0.96999991,-0.053364385,0.72567016,0.0042048669
0.52999997,0.94999981,-0.057550184,0.62104231,0.0087104365
0.47,0.99000001,-0.046694137,0.83841723,0.00077097514
0.49000001,0.96999991,-0.050878104,0.7201466,0.0050492059
0.50999999,0.94999975,-0.055712719,0.61365974,0.010644847
0.52999997,0.92999959,-0.059944749,0.52021241,0.016435903
0.44999999,0.99000001,-0.043546554,0.83589858,0.0008902456
0.47,0.96999991,-0.048042197,0.71373564,0.0058755921
0.49000001,0.94999981,-0.053410217,0.60502678,0.012517806
0.50999999,0.92999959,-0.058172695,0.51087874,0.019756276
0.52999997,0.90999931,-0.062502943,0.42994857,0.025517117
0.43000001,0.99000001,-0.040258352,0.83301896,0.0010096804
0.44999999,0.96999985,-0.044967271,0.70644879,0.0066954116
0.47,0.94999975,-0.050763134,0.59517908,0.014350856
0.49000001,0.92999959,-0.05594749,0.50011379,0.022961795
0.50999999,0.90999937,-0.0607576,0.41958737,0.030327877
0.52999997,0.88999891,-0.064970799,0.35083875,0.035213776
0.41,0.99000001,-0.036926337,0.82977313,0.0011311703
0.43000001,0.96999991,-0.041757155,0.69828612,0.0075204447
0.45000002,0.94999981,-0.047885351,0.58413976,0.016166795
0.47000003,0.92999959,-0.053391051,0.48797029,0.026088804
0.49000001,0.90999925,-0.058576077,0.40773246,0.034953814
0.50999999,0.88999879,-0.063207753,0.34029835,0.04155783
0.52999997,0.86999798,-0.067234457,0.28229088,0.044746552
0.39000002,0.99000001,-0.033642452,0.82614964,0.0012567481
0.41000003,0.96999991,-0.038510218,0.68923414,0.008364548
0.43000001,0.94999975,-0.044884585,0.57191509,0.017991804
0.45000005,0.92999953,-0.050618459,0.47448766,0.029176135
0.47000003,0.90999919,-0.056080386,0.39445543,0.039446019
0.49000004,0.88999867,-0.061029904,0.32828096,0.047628343
0.50999999,0.86999792,-0.065439425,0.27225909,0.052585479
0.37,0.99000001,-0.03049569,0.82212842,0.0013883959
0.39000002,0.96999991,-0.035321068,0.67926389,0.0092447577
0.41000006,0.94999981,-0.041863531,0.55849487,0.019855142
0.43000007,0.92999953,-0.047739223,0.45968851,0.032265458
0.45000008,0.90999925,-0.053385817,0.37981546,0.043857154
0.47000009,0.88999861,-0.058557738,0.31487665,0.053490199
0.49000013,0.86999768,-0.063253455,0.26081362,0.060047653
0.35000002,0.99000001,-0.027575446,0.81767964,0.0015271239
0.37,0.96999991,-0.032281395,0.6683296,0.010183644
0.39000005,0.94999975,-0.038922146,0.54385108,0.021789964
0.41000009,0.92999953,-0.044857737,0.44357997,0.03540308
0.43000013,0.90999919,-0.050602157,0.36385611,0.04824416
0.45000017,0.88999856,-0.055905424,0.30016309,0.059209723
0.47000024,0.86999756,-0.060793627,0.24805817,0.067210674
0.49000019,0.84999603,-0.065133214,0.203696,0.071605712
0.33000001,0.99000001,-0.024967797,0.8127594,0.001675584
0.35000002,0.96999991,-0.029477093,0.65636003,0.011214223
0.37000006,0.94999987,-0.036159802,0.52793586,0.023834113
0.3900001,0.92999953,-0.042074997,0.42615271,0.038641404
0.41000018,0.90999925,-0.047834326,0.34660894,0.052667733
0.43000028,0.8899985,-0.053181406,0.28420621,0.064855762
0.45000035,0.8699975,-0.058171462,0.23408829,0.074150041
0.47000042,0.84999579,-0.062679261,0.19213139,0.079976052
0.49000043,0.82999337,-0.066603899,0.15506352,0.081849329
0.31,0.99000001,-0.022759467,0.80732024,0.0018524174
0.33000001,0.96999991,-0.026991555,0.64323974,0.012369299
0.35000005,0.94999987,-0.03367364,0.51068002,0.026028525
0.37000012,0.92999971,-0.039489545,0.40738022,0.042040184
0.39000022,0.90999931,-0.045183744,0.32809162,0.057194524
0.41000032,0.88999867,-0.050489046,0.26706368,0.070499875
0.43000048,0.86999744,-0.055492803,0.21898934,0.080944166
0.45000061,0.84999573,-0.060080454,0.17946181,0.088027306
0.47000074,0.82999313,-0.064167149,0.14503148,0.091327041
0.49000087,0.80998909,-0.067614689,0.11314628,0.090518601
0.28999999,0.99000001,-0.021021588,0.80129373,0.00207189
