##ANSYS Fluent 23.1.0
##
##Generated on: 16:07:46, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.066996031,0.93638188,0.00049815373
0.50999999,0.99000001,-0.064081222,0.93463391,0.00064436323
0.52999997,0.96999991,-0.068390243,0.80746096,0.004135788
0.49000001,0.99000001,-0.060614321,0.93245578,0.00078535575
0.50999999,0.96999991,-0.065535307,0.80183142,0.0051238355
0.52999997,0.94999981,-0.071038701,0.68382484,0.010696218
0.47,0.99000001,-0.056741364,0.92985898,0.0009224696
0.49000001,0.96999991,-0.062133688,0.79518157,0.0060764174
0.50999999,0.94999975,-0.068377227,0.67492282,0.012866907
0.52999997,0.92999959,-0.073939331,0.57072914,0.020025466
0.44999999,0.99000001,-0.052595343,0.92685193,0.0010574408
0.47,0.96999991,-0.058329292,0.78753722,0.0070075057
0.49000001,0.94999981,-0.065171398,0.66463524,0.014963696
0.50999999,0.92999959,-0.071333885,0.55960101,0.023723701
0.52999997,0.90999931,-0.077039696,0.47072387,0.03086202
0.43000001,0.99000001,-0.048301671,0.92343652,0.0011921774
0.44999999,0.96999985,-0.054256953,0.77891541,0.0079285223
0.47,0.94999975,-0.061569467,0.6530081,0.017009484
0.49000001,0.92999959,-0.068199955,0.54690713,0.027283967
0.50999999,0.90999937,-0.074448302,0.4585022,0.03618221
0.52999997,0.88999891,-0.080037251,0.38429034,0.042317875
0.41,0.99000001,-0.043977808,0.91960829,0.0013288605
0.43000001,0.96999991,-0.0500434,0.7693187,0.0088531198
0.45000002,0.94999981,-0.057710029,0.64006859,0.019030655
0.47000003,0.92999959,-0.064686552,0.5327127,0.03074709
0.49000001,0.90999925,-0.071349956,0.44466516,0.041282993
0.50999999,0.88999879,-0.077412218,0.3719779,0.049291641
0.52999997,0.86999798,-0.082814083,0.31042805,0.053476088
0.39000002,0.99000001,-0.03973496,0.91535544,0.0014699048
0.41000003,0.96999991,-0.045807771,0.75873458,0.009796611
0.43000001,0.94999975,-0.053723555,0.62582856,0.021056252
0.45000005,0.92999953,-0.06093381,0.51706374,0.034155983
0.47000003,0.90999919,-0.06789352,0.42929754,0.046221159
0.49000004,0.88999867,-0.074307151,0.35808223,0.055944543
0.50999999,0.86999792,-0.080143601,0.29880652,0.062050823
0.37,0.99000001,-0.035679098,0.91065687,0.0016178432
0.39000002,0.96999991,-0.041663501,0.74713331,0.010777305
0.41000006,0.94999981,-0.049734138,0.61028111,0.023118509
0.43000007,0.92999953,-0.05707369,0.49999055,0.037557296
0.45000008,0.90999925,-0.064218946,0.41246712,0.051055528
0.47000009,0.88999861,-0.070868656,0.34270611,0.062348764
0.49000013,0.86999768,-0.077022396,0.28567749,0.070188805
0.35000002,0.99000001,-0.031914864,0.90548044,0.0017748344
0.37,0.96999991,-0.037720241,0.73446554,0.011818361
0.39000005,0.94999975,-0.04586098,0.59339911,0.025254747
0.41000009,0.92999953,-0.053232193,0.4815059,0.041002017
0.43000013,0.90999919,-0.060458399,0.3942278,0.055848174
0.45000017,0.88999856,-0.067234837,0.32593814,0.068577178
0.47000024,0.86999756,-0.073592901,0.27115637,0.077975608
0.49000019,0.84999603,-0.07936839,0.22519183,0.083356909
0.33000001,0.99000001,-0.028546218,0.89977837,0.0019421583
0.35000002,0.96999991,-0.034083705,0.72066027,0.012952938
0.37000006,0.94999987,-0.042220853,0.57513249,0.027508102
0.3900001,0.92999953,-0.049530424,0.46160558,0.044547178
0.41000018,0.90999925,-0.056737985,0.37461936,0.060665421
0.43000028,0.8899985,-0.06353613,0.30785573,0.074704677
0.45000035,0.8699975,-0.069989651,0.25535131,0.085493654
0.47000042,0.84999579,-0.075944029,0.21210039,0.092423163
0.49000043,0.82999337,-0.081275627,0.17418121,0.094974719
0.31,0.99000001,-0.025676612,0.89349097,0.0021307538
0.33000001,0.96999991,-0.030851554,0.70559782,0.01422617
0.35000005,0.94999987,-0.038931277,0.55541074,0.029925557
0.37000012,0.92999971,-0.046085395,0.44026619,0.048257347
0.39000022,0.90999931,-0.053178824,0.35366866,0.065579683
0.41000032,0.88999867,-0.059896469,0.28852665,0.080809027
0.43000048,0.86999744,-0.066340089,0.23835924,0.092828013
0.45000061,0.84999573,-0.072366707,0.1978412,0.10111362
0.47000074,0.82999313,-0.077870838,0.16285877,0.10521582
0.49000087,0.80998909,-0.082681462,0.13040669,0.10479195
0.28999999,0.99000001,-0.023397857,0.88654727,0.0023658087
0.31000003,0.96999997,-0.028136805,0.68915021,0.015656758
0.33000004,0.94999987,-0.036102172,0.53413266,0.032559324
0.35000014,0.92999977,-0.043013088,0.4174456,0.052208479
0.37000024,0.90999943,-0.049898379,0.33138815,0.070670888
0.39000034,0.88999891,-0.056434654,0.26800856,0.086973429
0.41000056,0.86999786,-0.062764622,0.22027141,0.10006467
0.43000081,0.84999591,-0.068758458,0.1825262,0.10951954
