##ANSYS Fluent 23.1.0
##
##Generated on: 16:06:55, 19 Oct 2023
##
##Generated from case: cavity.cas
##

[Name]
fluid

[Data]
x,y,pressure,x-velocity,y-velocity
0.52999997,0.99000001,-0.0052006491,0.28237718,9.2343316e-06
0.50999999,0.99000001,-0.005539936,0.28230292,4.0057137e-05
0.52999997,0.96999991,-0.005301612,0.24799694,0.00012441048
0.49000001,0.99000001,-0.0058018756,0.28213546,7.1710812e-05
0.50999999,0.96999991,-0.0056760646,0.24766687,0.00035167424
0.52999997,0.94999981,-0.0054783258,0.21481252,0.00043381136
0.47,0.99000001,-0.0060003242,0.28187197,0.00010352062
0.49000001,0.96999991,-0.0059729419,0.24708067,0.00058007613
0.50999999,0.94999975,-0.0059219492,0.21420406,0.00097690045
0.52999997,0.92999959,-0.0057102581,0.18320648,0.000945026
0.44999999,0.99000001,-0.0061471444,0.28151101,0.00013613663
0.47,0.96999991,-0.0062063513,0.24623576,0.00081420672
0.49000001,0.94999981,-0.0062911222,0.21320502,0.0015199755
0.50999999,0.92999959,-0.006206613,0.18235512,0.0019317081
0.52999997,0.90999931,-0.0059729642,0.15345922,0.0016191999
0.43000001,0.99000001,-0.0062523172,0.28104812,0.00017184252
0.44999999,0.96999985,-0.0063896533,0.245125,0.0010561104
0.47,0.94999975,-0.0065987292,0.21181515,0.0020715531
0.49000001,0.92999959,-0.0066300565,0.18101244,0.0029181249
0.50999999,0.90999937,-0.0065141888,0.15243642,0.003131459
0.52999997,0.88999891,-0.0062385779,0.12577328,0.0023922024
0.41,0.99000001,-0.0063271141,0.28047872,0.00021492962
0.43000001,0.96999991,-0.0065366519,0.2437371,0.0013057257
0.45000002,0.94999981,-0.0068585491,0.21002601,0.0026394876
0.47000003,0.92999959,-0.0069930218,0.17917943,0.0039175032
0.49000001,0.90999925,-0.0069832471,0.15085365,0.0046393028
0.50999999,0.88999879,-0.0068116873,0.12466761,0.0044891294
0.52999997,0.86999798,-0.0064810575,0.10026129,0.0031884029
0.39000002,0.99000001,-0.0063895085,0.27979237,0.00026160365
0.41000003,0.96999991,-0.0066613927,0.24206004,0.0015669412
0.43000001,0.94999975,-0.0070837899,0.2078243,0.0032333569
0.45000005,0.92999953,-0.0073105129,0.17684937,0.004943416
