x,y,pressure,x-velocity,y-velocity,label
0.15,0.41,-0.0075241853,-0.03861196,0.10041872,0
0.43,0.05,0.00084133033,-0.027496776,0.0011496181,0
0.89,0.59,0.0019405654,-0.081740052,-0.25594035,-1
0.63,0.41,-0.0067361104,-0.1800704,-0.071932189,-1
0.75,0.65,-0.030055689,-0.16697688,-0.23358539,-1
