x,y,pressure,x-velocity,y-velocity,label
0.13,0.99,-0.021518767,0.24459928,0.0025461551,-1
0.93,0.99,0.087088183,0.20989107,-0.007559598,-1
0.65,0.43,0.0014067817,-0.052327763,-0.029853201,0
0.41,0.43,-0.0014979092,-0.05165014,0.021597875,0
